"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 06 22:43:42 GMT 2023","Mon Mar 06 22:43:45 GMT 2023","3069","","Marcador | Desafio Base2 | Automação Web","","Marcador | Desafio Base2 | Automação Web","validar filtro alfanumérico","validar filtro alfanumérico",""
"passed","Mon Mar 06 22:42:25 GMT 2023","Mon Mar 06 22:42:27 GMT 2023","2566","","Gerais| Desafio Base2 | Automação Web","","Gerais| Desafio Base2 | Automação Web","acessar página de gerenciamento","acessar página de gerenciamento",""
"passed","Mon Mar 06 22:48:27 GMT 2023","Mon Mar 06 22:48:38 GMT 2023","10865","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","desassociar tarefa do projeto","desassociar tarefa do projeto",""
"passed","Mon Mar 06 22:43:59 GMT 2023","Mon Mar 06 22:44:09 GMT 2023","10100","","Marcador | Desafio Base2 | Automação Web","","Marcador | Desafio Base2 | Automação Web","apagar marcador","apagar marcador",""
"passed","Mon Mar 06 22:47:07 GMT 2023","Mon Mar 06 22:47:15 GMT 2023","7900","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e validar tarefa criada","criar tarefa e validar tarefa criada",""
"passed","Mon Mar 06 22:43:50 GMT 2023","Mon Mar 06 22:43:59 GMT 2023","8940","","Marcador | Desafio Base2 | Automação Web","","Marcador | Desafio Base2 | Automação Web","criar vários marcadores","criar vários marcadores",""
"passed","Mon Mar 06 22:45:45 GMT 2023","Mon Mar 06 22:45:55 GMT 2023","10161","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","apagar projeto","apagar projeto",""
"passed","Mon Mar 06 22:41:51 GMT 2023","Mon Mar 06 22:42:04 GMT 2023","12707","","Categoria | Desafio Base2 | Automação Web","","Categoria | Desafio Base2 | Automação Web","apagar categoria","apagar categoria",""
"passed","Mon Mar 06 22:47:15 GMT 2023","Mon Mar 06 22:47:25 GMT 2023","10330","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: retorno","criar tarefa e alterar status - de: novo para: retorno",""
"passed","Mon Mar 06 22:47:35 GMT 2023","Mon Mar 06 22:47:45 GMT 2023","10002","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: confirmado","criar tarefa e alterar status - de: novo para: confirmado",""
"passed","Mon Mar 06 22:52:22 GMT 2023","Mon Mar 06 22:52:32 GMT 2023","10217","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","buscar usuario pelo email","buscar usuario pelo email",""
"passed","Mon Mar 06 22:43:38 GMT 2023","Mon Mar 06 22:43:42 GMT 2023","3985","","Marcador | Desafio Base2 | Automação Web","","Marcador | Desafio Base2 | Automação Web","acessar página de marcadores","acessar página de marcadores",""
"passed","Mon Mar 06 22:42:38 GMT 2023","Mon Mar 06 22:42:44 GMT 2023","5233","","Login | Desafio Base2 | Automação Web","","Login | Desafio Base2 | Automação Web","validar login","validar login",""
"passed","Mon Mar 06 22:51:14 GMT 2023","Mon Mar 06 22:51:23 GMT 2023","8849","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario - desenvolvedor","criar usuario - desenvolvedor",""
"passed","Mon Mar 06 22:44:37 GMT 2023","Mon Mar 06 22:44:41 GMT 2023","4106","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","acessar pagina de projetos","acessar pagina de projetos",""
"passed","Mon Mar 06 22:48:05 GMT 2023","Mon Mar 06 22:48:15 GMT 2023","10202","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: fechado","criar tarefa e alterar status - de: novo para: fechado",""
"passed","Mon Mar 06 22:46:58 GMT 2023","Mon Mar 06 22:47:07 GMT 2023","9261","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","apagar tarefa","apagar tarefa",""
"passed","Mon Mar 06 22:46:30 GMT 2023","Mon Mar 06 22:46:37 GMT 2023","6224","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa","criar tarefa",""
"passed","Mon Mar 06 22:43:45 GMT 2023","Mon Mar 06 22:43:50 GMT 2023","4277","","Marcador | Desafio Base2 | Automação Web","","Marcador | Desafio Base2 | Automação Web","criar marcador","criar marcador",""
"passed","Mon Mar 06 22:48:38 GMT 2023","Mon Mar 06 22:48:46 GMT 2023","8403","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e adicionar anexo","criar tarefa e adicionar anexo",""
"passed","Mon Mar 06 22:44:41 GMT 2023","Mon Mar 06 22:44:49 GMT 2023","7602","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","criar projeto","criar projeto",""
"passed","Mon Mar 06 22:45:23 GMT 2023","Mon Mar 06 22:45:35 GMT 2023","12149","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","habilitar projeto desabilitado","habilitar projeto desabilitado",""
"passed","Mon Mar 06 22:51:23 GMT 2023","Mon Mar 06 22:51:32 GMT 2023","9043","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario - gerente","criar usuario - gerente",""
"passed","Mon Mar 06 22:46:45 GMT 2023","Mon Mar 06 22:46:58 GMT 2023","12612","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e criar clone","criar tarefa e criar clone",""
"passed","Mon Mar 06 22:51:43 GMT 2023","Mon Mar 06 22:51:56 GMT 2023","13366","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","excluir usuário","excluir usuário",""
"passed","Mon Mar 06 22:45:35 GMT 2023","Mon Mar 06 22:45:45 GMT 2023","10188","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","editar visibilidade projeto","editar visibilidade projeto",""
"passed","Mon Mar 06 22:52:32 GMT 2023","Mon Mar 06 22:52:47 GMT 2023","14830","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario - Data-Driven","criar usuario - Data-Driven",""
"passed","Mon Mar 06 22:51:05 GMT 2023","Mon Mar 06 22:51:14 GMT 2023","9261","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario - atualizador","criar usuario - atualizador",""
"passed","Mon Mar 06 22:39:33 GMT 2023","Mon Mar 06 22:39:40 GMT 2023","7500","","Campo Personalizado | Desafio Base2 | Automação Web","","Campo Personalizado | Desafio Base2 | Automação Web","acessar página de campos personalizados","acessar página de campos personalizados",""
"passed","Mon Mar 06 22:47:25 GMT 2023","Mon Mar 06 22:47:35 GMT 2023","9924","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: admitido","criar tarefa e alterar status - de: novo para: admitido",""
"passed","Mon Mar 06 22:52:06 GMT 2023","Mon Mar 06 22:52:22 GMT 2023","15810","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","buscar usuario pelo primeiro nome","buscar usuario pelo primeiro nome",""
"passed","Mon Mar 06 22:50:56 GMT 2023","Mon Mar 06 22:51:05 GMT 2023","8893","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario - visualizador","criar usuario - visualizador",""
"passed","Mon Mar 06 22:50:43 GMT 2023","Mon Mar 06 22:50:56 GMT 2023","12308","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario dados minimos e edita","criar usuario dados minimos e edita",""
"passed","Mon Mar 06 22:39:40 GMT 2023","Mon Mar 06 22:39:53 GMT 2023","13384","","Campo Personalizado | Desafio Base2 | Automação Web","","Campo Personalizado | Desafio Base2 | Automação Web","criar campo personalizado","criar campo personalizado",""
"passed","Mon Mar 06 22:50:30 GMT 2023","Mon Mar 06 22:50:35 GMT 2023","4392","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","validar filtro alfanumérico","validar filtro alfanumérico",""
"passed","Mon Mar 06 22:50:35 GMT 2023","Mon Mar 06 22:50:43 GMT 2023","8587","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario dados minimos","criar usuario dados minimos",""
"passed","Mon Mar 06 22:45:00 GMT 2023","Mon Mar 06 22:45:10 GMT 2023","10163","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","editar estado projeto","editar estado projeto",""
"passed","Mon Mar 06 22:41:24 GMT 2023","Mon Mar 06 22:41:30 GMT 2023","6480","","Categoria | Desafio Base2 | Automação Web","","Categoria | Desafio Base2 | Automação Web","criar categoria","criar categoria",""
"passed","Mon Mar 06 22:41:39 GMT 2023","Mon Mar 06 22:41:51 GMT 2023","12193","","Categoria | Desafio Base2 | Automação Web","","Categoria | Desafio Base2 | Automação Web","alterar categoria já criada","alterar categoria já criada",""
"passed","Mon Mar 06 22:47:55 GMT 2023","Mon Mar 06 22:48:05 GMT 2023","9758","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: resolvido","criar tarefa e alterar status - de: novo para: resolvido",""
"passed","Mon Mar 06 22:39:53 GMT 2023","Mon Mar 06 22:40:10 GMT 2023","16264","","Campo Personalizado | Desafio Base2 | Automação Web","","Campo Personalizado | Desafio Base2 | Automação Web","validar uso de campo personalizado","validar uso de campo personalizado",""
"passed","Mon Mar 06 22:48:15 GMT 2023","Mon Mar 06 22:48:27 GMT 2023","11590","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","reabrir tarefa","reabrir tarefa",""
"passed","Mon Mar 06 22:51:56 GMT 2023","Mon Mar 06 22:52:06 GMT 2023","9621","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","buscar usuario pelo nome exato","buscar usuario pelo nome exato",""
"passed","Mon Mar 06 22:41:30 GMT 2023","Mon Mar 06 22:41:39 GMT 2023","8565","","Categoria | Desafio Base2 | Automação Web","","Categoria | Desafio Base2 | Automação Web","criar e editar categoria","criar e editar categoria",""
"passed","Mon Mar 06 22:44:49 GMT 2023","Mon Mar 06 22:45:00 GMT 2023","10832","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","editar nome projeto","editar nome projeto",""
"passed","Mon Mar 06 22:47:45 GMT 2023","Mon Mar 06 22:47:55 GMT 2023","9870","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: atribuído","criar tarefa e alterar status - de: novo para: atribuído",""
"passed","Mon Mar 06 22:40:10 GMT 2023","Mon Mar 06 22:40:28 GMT 2023","17965","","Campo Personalizado | Desafio Base2 | Automação Web","","Campo Personalizado | Desafio Base2 | Automação Web","apagar campo personalizado","apagar campo personalizado",""
"passed","Mon Mar 06 22:42:27 GMT 2023","Mon Mar 06 22:42:30 GMT 2023","2857","","Gerais| Desafio Base2 | Automação Web","","Gerais| Desafio Base2 | Automação Web","acessar página de resumo","acessar página de resumo",""
"passed","Mon Mar 06 22:46:37 GMT 2023","Mon Mar 06 22:46:45 GMT 2023","8558","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e validar tarefa na lista","criar tarefa e validar tarefa na lista",""
"passed","Mon Mar 06 22:45:10 GMT 2023","Mon Mar 06 22:45:23 GMT 2023","12610","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","desabilitar projeto","desabilitar projeto",""
"passed","Mon Mar 06 22:51:32 GMT 2023","Mon Mar 06 22:51:43 GMT 2023","11135","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","buscar usuario pelo login exato","buscar usuario pelo login exato",""
